Feature Phi (degrees),Feature Theta (degrees),Target Phi (degrees),Target Theta (degrees),reference
-1.5974761972456248,90.91264808278663,134.9019961310801,104.02691209811886,0
-1.5974761972456248,90.91264808278663,134.80230147472736,104.0178822832676,0
-1.597476197245625,90.6845113894384,134.80230147472736,104.0178822832676,0
-1.5974761972456248,90.6845113894384,134.7616214712731,104.0025499326699,0
-1.5974761972456248,90.91264808278663,134.88194260825054,104.06151874894476,0
-1.8255423073298656,91.36866469819901,134.88652627061157,104.01439869987321,0
-1.8255423073298656,90.91253955808872,134.9777411515964,103.98509763823022,0
-1.597476197245625,90.91264808278663,134.75703780891203,104.03559813829304,0
-1.5974761972456248,90.91264808278663,134.85742001461895,104.13539592704895,0
-1.5974761972456248,90.91264808278663,134.95207264237453,104.00257285098171,0
-1.597476197245625,90.91264808278663,134.85604491591062,104.07413527959353,0
-1.8255423073298656,90.91253955808872,134.68507430984357,103.99782876043803,0
-1.8255423073298653,90.91253955808872,134.7114303684196,104.0008081409727,0
-1.5974761972456248,90.91264808278663,134.7114303684196,104.0008081409727,0
-1.597476197245625,90.91264808278663,134.79783240392536,104.0388869160371,0
-1.6038627711549311,90.91629520030376,134.7767475570645,104.01115575875278,0
-1.597476197245625,90.91264808278663,134.85340931005302,104.02506717401855,0
-1.597476197245625,90.91264808278663,134.9002772576947,104.01284025467044,0
-1.584854393050516,90.90544021903068,134.8102082923002,104.04775630270574,0
-1.5974761972456248,90.91264808278663,134.79256119221014,103.98573935096077,0
-1.8255423073298653,90.91253955808872,134.94920785339892,104.05651109781532,0
-1.5974761972456248,91.8248332791287,135.20463243846822,104.07399776972271,0
-1.5974761972456248,90.91264808278663,135.66414459016315,104.18312331138333,0
-1.5974761972456248,90.91264808278663,136.3770186788649,104.33330700864302,0
-1.5974761972456248,90.91264808278663,136.3770186788649,104.33330700864302,0
-1.597476197245625,90.91264808278663,137.00876194377616,104.39355925037898,0
-3.874673203565136,90.68321242301144,137.6107114033406,104.47579015313616,0
-3.874673203565136,92.50363625762563,138.17988767702354,104.57694012228856,0
-3.874673203565136,92.50363625762563,138.62541965851727,104.60914035037491,0
-3.8746732035651363,92.50363625762563,139.03439693268166,104.63990818397343,0
-3.874673203565136,92.27628432883789,139.6503265624473,104.78986269811507,0
-3.8901244040618224,92.28533805013306,140.38818161101676,104.86069174074913,0
-3.8901244040618215,92.28533805013306,140.99780870503596,104.86808289630633,0
-7.068595117003157,92.27321867997041,140.99780870503596,104.86808289630633,0
-6.842773412630941,93.63592123917454,141.4914691413207,104.87988582688601,0
-6.842773412630941,93.63592123917454,141.8707672016973,104.87961080714436,0
-6.842773412630941,93.40922995420226,142.3169867325452,104.90746801514362,0
-6.84277341263094,93.40922995420226,142.62959250556855,104.9012342343326,0
-6.869992308214258,93.19500404806597,143.22443728847338,104.99860268203713,0
-6.869992308214258,93.19500404806597,143.7544232489694,104.9923345237584,0
-9.126170904858409,93.40385123582516,144.12352266059264,105.00244149926452,0
-8.937031809258354,94.32805390056251,144.85736700459623,105.02647134919228,0
-8.866676044144272,94.06914233113021,145.68678070882763,105.0655356116643,0
-8.901716032891997,94.08503983569798,145.68678070882763,105.0655356116643,0
-8.937031809258354,94.10106028588041,146.22650695184083,104.9721549502139,0
-9.00850374202516,94.13347568651308,147.10989328037354,105.03767840366504,0
-9.00850374202516,94.13347568651308,147.65408859418878,105.02765164225026,0
-13.045637062948602,94.07727493345223,148.04897110659297,104.99743384813507,0
-12.875001559612478,95.45499520624502,148.74041657375685,105.03024141148425,0
-12.875001559612475,95.22899084294015,149.10791170355375,105.00075700334682,0
-12.875001559612478,95.45499520624502,149.6013429567204,104.99698694105486,0
-12.875001559612478,95.45499520624502,149.99737138471485,105.00649804045405,0
-12.753300254575704,95.50225951958349,149.99737138471485,105.00649804045405,0
-12.97739533781742,95.49737667943599,150.2981742271585,105.0190572753233,0
-14.975434413662061,95.45015139236467,150.63610473472667,105.03492820624844,0
-15.19524852681988,96.3450992358793,151.35722941567832,105.09569611,0
-14.975434413662061,96.35161053602145,151.7314854474578,105.09335844219586,0
-14.975434413662056,96.35161053602148,152.03079859963412,105.11812167810142,0
-14.755168220049736,96.35804205588411,152.37640674165704,105.142529680174,0
-15.094062825036573,96.17356739247732,152.71387888298912,105.20769789979217,0
-17.136274503575986,96.36149020113722,153.17052624570834,105.37025748542668,0
-17.06931061208773,96.33756917916546,153.37713482663253,105.41871825573885,0
-17.06931061208773,96.56197046667285,153.37713482663253,105.41871825573885,0
-17.06931061208773,96.33756917916546,153.67243727424298,105.5252998647891,0
-17.136274503575986,96.36149020113722,153.93565408532606,105.61483024985623,0
-17.06931061208773,96.56197046667285,154.185005317767,105.68843240821874,0
-17.203749927279983,96.61165470310779,154.1350433980316,105.77767631438833,0
-18.290989880850006,96.34723432460177,154.298909327439,105.84831055137205,0
-18.07460275953478,96.35504822207547,154.3903533915419,105.83535024604619,0
-18.074602759534784,97.02945897858373,154.4884437660683,105.87769182710635,0
-18.07460275953478,96.80486349086947,154.5007050628841,105.84386439888182,0
-18.145578659481412,96.83044394195105,154.5638450119075,105.94045362398498,0
-18.145578659481412,96.83044394195105,154.5638450119075,105.94045362398498,0
-18.07460275953478,96.80486349086947,154.63901707462867,106.0596861411517,0
-18.145578659481412,96.83044394195105,154.80586238457076,106.11968628145782,0
-18.36269693245241,97.27207320034566,154.72977358937737,106.23558418425688,0
-18.07460275953478,97.7019178082826,155.00639761286655,106.54254059342026,0
-18.145578659481412,97.50604814579498,155.23157002635298,106.67019559017541,0
-18.145578659481412,97.50604814579498,154.96972831397818,106.29285704545815,0
-18.004161605913385,97.45013379445587,154.88481596873982,106.3079602129378,0
-18.145578659481412,97.50604814579498,154.97832268090514,106.39835003469764,0
-18.36269693245241,97.49677912034954,154.97007208865523,106.46221191054292,0
-18.36269693245241,97.49677912034954,154.97007208865523,106.46221191054292,0
-18.36269693245241,97.72125334008811,155.0100645427554,106.50815166655651,0
-18.36269693245241,97.72125334008811,155.0890181269244,106.58408003356725,0
-18.36269693245241,97.49677912034954,155.1857334027425,106.59793415305352,0
-18.29098988085001,97.46882707261814,155.17622230334334,106.59289212445636,0
-18.36269693245241,97.72125334008811,155.18745227612789,106.56751009413205,0
-18.43494882292201,97.52492818156875,155.34444271199374,106.65999694142208,0
