Feature Phi (degrees),Feature Theta (degrees),Target Phi (degrees),Target Theta (degrees),reference
-7.658843146724753,155.91014864661489,-167.39066617181385,93.82090595442573,0
-9.484160080132183,154.6865206171098,-166.00525122073415,94.72198530188871,0
-4.752357088579624,155.2173812467762,-165.7279788099613,94.05340846804046,0
-4.9882145944833916,156.34643840494223,-167.1170268305006,94.28838959355785,0
-7.177222902741982,156.14248969437418,-167.39066617181385,94.95644470004143,0
-4.057642629216722,154.31717700906302,-165.50651450933907,93.13895116245827,0
-5.77730323314807,154.78096267123934,-166.2267759842122,93.36355704878103,0
-7.585533406036446,155.61192268457236,-166.67108211460558,93.59771793253641,0
-6.430636596295379,155.45726513458752,-167.1679181450676,93.81756409202991,0
-3.6695046045546222,155.24771052112197,-165.50651450933907,93.82196630842817,0
-6.194897564640666,154.4478213414833,-166.00525122073415,93.13300077888684,0
-6.138628624802042,154.04625907305288,-165.2854918808281,93.13580404938016,0
-6.717492769073373,154.52241380244402,-164.62512603932487,93.12612382206753,0
-4.057642629216722,154.51230003979686,-164.8447925189834,94.26371355015166,0
-9.228267772360072,154.17959545991746,-166.4487214421793,92.68308840649773,0
-2.423077947930323,153.64241965035262,-164.7850032404722,94.50743130777683,0
-6.194897564640666,154.4478213414833,-166.00525122073415,93.3603514793651,0
-3.0405469367311238,154.54685255482514,-164.56455479420637,95.18317493224173,0
-2.080025216905798,155.78664306702387,-165.06491616267624,95.40023984157797,0
-5.569038153142699,154.06266703288472,-165.3432548287151,93.12378833311858,0
-4.020959899291877,154.11371226033603,-164.8447925189834,93.35647981032885,0
-4.133049769959589,154.72616832483106,-165.2854918808281,93.36335726995841,0
-3.156978931708501,155.5608640191715,-165.2854918808281,94.04535155360615,0
-4.334402472477958,156.13185902747975,-167.1170268305006,94.06046148198332,0
-1.4552181333001606,154.37447135691644,-164.06246827636872,93.37149726637192,0
-2.401707288633203,153.54078291618714,-164.8447925189834,92.90220167662268,0
-5.470419884166364,153.4575657504214,-164.90412462098058,93.34367458446035,0
-3.0688430747431896,154.8487226746666,-165.94987947070325,94.5127329103041,0
-8.354328891719407,154.54732634311856,-165.1234662151379,92.21390154991175,0
-7.585533406036446,155.61192268457236,-166.2809201558291,94.93415225949637,0
-2.080025216905798,155.6930214753668,-165.50651450933907,94.95781739481556,0
-7.4859338129088595,153.5679333211842,-165.6200194554294,91.75686889927572,0
-3.2503213351079703,156.18301512068143,-166.00525122073415,94.04173998011741,0
-2.4669801721774447,154.246662054864,-164.7850032404722,93.36937973315489,0
-5.975770609478915,153.53846956773174,-165.78415256071236,92.44801230901626,0
-5.14668138166518,154.68248806353645,-166.00525122073415,93.13300077888684,0
-7.689070203941956,154.17092627899035,-166.4487214421793,92.68308840649773,0
-4.057642629216722,154.41508548329483,-166.2267759842122,92.90832460429368,0
-7.98711038841598,153.33866243442054,-166.17221110626176,92.4622405205801,0
-6.717492769073373,154.42480063160494,-166.2267759842122,93.135990367855,0
-8.130081057846288,153.94144455580386,-165.78415256071236,92.6754183340713,0
-5.975770609478915,153.638912921445,-166.2267759842122,92.45272436225383,0
-7.305737837523436,154.60324036149885,-165.83989485858532,92.89161010519204,0
-2.489532936883133,154.0545244126912,-164.1871845557184,94.02431440120213,0
-0.9435898206341335,154.98700477681336,-163.84266584131555,94.27805738218254,0
-2.881144851386988,153.02453260677314,-165.00591402333401,92.00235640661394,0
-6.803543230423336,152.79043606501594,-164.96300464436533,91.75159165209196,0
-5.519289891037884,153.86052186515755,-165.94987947070325,93.14512353034195,0
-4.621230606644686,154.60314223989587,-165.3432548287151,93.80352185295666,0
-2.002512926649824,154.96285143971204,-163.84266584131555,94.50530518368937,0
-1.4419037125214675,154.06866800683173,-164.1871845557184,93.57211787836341,0
-3.441239561230154,153.4190799254328,-164.34457374089249,92.90719591345365,0
-3.381140061135179,153.11619755810645,-164.34457374089249,92.22394015338814,0
-4.964214019993457,153.6774331747057,-165.2854918808281,91.99669477684033,0
-8.278227112271775,154.14694268511298,-165.78415256071236,92.90274003869325,0
-4.211307567913824,154.944562521188,-165.78415256071236,94.03783569226182,0
-3.381140061135179,153.0134740199206,-164.12506506035248,92.44912485570515,0
-4.094999675065311,154.3245309227818,-165.2854918808281,93.59080431658451,0
-6.596717364335844,153.92014323105624,-166.67108211460558,92.91375608905905,0
-2.9323904502334535,153.53203845171683,-163.62335091643084,93.59152945222992,0
-3.381140061135179,153.0134740199206,-164.1871845557184,91.98628535874934,0
-3.381140061135179,153.11619755810645,-164.62512603932487,91.7631871630927,0
-2.8561873470781878,152.92589356088916,-164.12506506035248,91.99388191654407,0
