Feature Phi (degrees),Feature Theta (degrees),Target Phi (degrees),Target Theta (degrees),reference
-4.9060669856477865,112.31852456243763,-118.933318606107,132.69542833528473,0
-5.66168510028495,112.38061600241527,-119.41116540724612,132.26544642835088,0
-5.68603429652057,112.25594493625516,-119.3349620204937,132.05344058499654,0
-5.440332031005506,112.47548651389651,-119.10463298685112,132.1014773665403,0
-5.417022113856611,112.17846188459622,-119.81659034308069,132.39318163919734,0
-6.176801182604219,112.23807780535695,-118.73702326549517,131.39589130099262,0
-6.150381528504816,112.78154997407512,-119.28431255140414,132.05348642162016,0
-5.931526924919764,112.87833802279584,-118.35153726093117,131.69568573771684,0
-5.46384281323664,112.98427857759381,-117.21971643242973,131.46884028746868,0
-5.511477416020616,114.2118251460959,-115.39530422117419,131.98245111417984,0
-4.513988458001262,115.07219331526883,-115.14274442508051,132.54972516798296,0
-4.031801098073723,115.5938551743084,-114.5575940880693,132.05944518268953,0
-3.292147112996009,115.71104500277285,-113.40908872857366,132.46782658074696,0
-3.039399568926921,116.32979993843183,-112.33426574153184,131.43443990144903,0
-2.8239602892423568,117.2515837830487,-111.88263748909792,132.74378597319378,0
-3.8481794609250524,117.22728693660007,-112.07455543215494,131.41720533097148,0
-3.7972478804384298,117.1191427733811,-113.8993572547112,131.74470800666828,0
-4.320804954984468,116.19401235518801,-113.92773012472607,131.87019722295784,0
-3.52919029936702,115.60679687720975,-114.62880128284814,132.5599238167363,0
-3.747644974766046,115.40606772368403,-115.88953761525403,132.91522640465283,0
-3.747644974766047,114.37895588802013,-114.67784647011135,133.65451384771012,0
-3.0127875041833403,114.69721824184631,-115.53453296539097,133.1100778916209,0
-2.9996553064960194,114.39553798921808,-115.93697852069084,133.69836803734944,0
-2.9996553064960185,114.18796609684796,-114.57904562791899,133.58314622474865,0
-2.7742773113007893,115.00496025151568,-115.98304432741936,132.83145997500472,0
-4.763641690726177,114.4448701529427,-116.98193894745044,132.0930892644196,0
-4.722406879915756,113.8441234938985,-117.18064071080181,132.43836509092134,0
-4.722406879915756,113.63609587619159,-117.75875512608881,132.15554166408884,0
-4.722406879915756,113.8441234938985,-116.67609407640961,132.80991676190777,0
-3.2491115607206895,114.80345445752509,-115.52250085169321,133.31790114307077,0
-3.2491115607206895,114.59727620729359,-115.83017918767847,132.86856472181736,0
-3.9967034753189186,114.37261862115872,-116.31971432783823,132.57647083785966,0
-4.99133325752452,114.13600747736858,-117.03625534642883,132.0663206762311,0
-5.785554864697478,114.29599616312402,-116.01375486523838,130.84609245994096,0
-5.810979858278599,115.42737047450971,-116.25611601257873,129.45139859503354,0
-7.56142842766696,114.72898963338811,-117.31173345432775,128.79058345159734,0
-7.742736667637976,114.32209833177687,-118.00421024552286,129.49833529761065,0
-7.709333080033923,114.02330947128758,-119.5744583788584,128.8722413965594,0
-8.689750289139573,113.34833754320158,-119.09397597186167,130.4118477470113,0
-7.920739901641073,112.67105438134256,-120.11407003031259,129.56835074017562,0
-7.886883404779884,112.5844491307239,-120.50138949982102,129.96827528117694,0
-7.886883404779884,112.37468014419522,-120.29088480588997,129.78547882621842,0
-7.920739901641072,111.82561803500047,-121.09096307101066,130.62871227246833,0
-6.124186060462479,111.64633259557148,-121.16476003502349,131.97496828537544,0
-6.098211947823487,111.3523966344408,-121.82709924619475,132.35616856563186,0
-6.098211947823487,111.14090147567748,-120.7958898065183,132.83437060060393,0
-4.642037813507533,110.54774568684935,-121.8790092224336,134.07584409193754,0
-4.361572645020596,110.39520896808092,-122.45047732729705,134.24543959929625,0
-4.361572645020596,110.39520896808092,-123.07144898565986,133.689830966202,0
-5.32574062476772,109.72857867563535,-123.16541406406131,133.36631607675932,0
-5.806726905531578,110.35324421156156,-122.73867509824788,132.814947331349,0
-6.794698428516961,110.3970466894834,-123.015184530178,132.2443501223341,0
-6.794698428516961,110.18406179751462,-123.09986769229835,130.68538925756266,0
-7.305759533310827,110.66919086405278,-122.31250909022957,131.4435957670152,0
-6.34019174590991,110.70737462745598,-122.10567132618735,131.98524714822005,0
-6.394397765227589,111.08253120958112,-120.33076266843108,131.0170172293844,0
-7.125016348901798,112.94920440631245,-119.97724770883536,129.70737321958617,0
-8.895856969663305,112.40980756371184,-120.90245995641261,129.28657009653028,0
-9.623832081891912,112.36800795838907,-121.39485988554804,128.54532313781365,0
-9.582944723532572,111.86302567473963,-122.54455699725756,129.6242370435127,0
-8.30216123488386,110.27813973581924,-123.3890967872804,130.55040040102986,0
-8.74616226255521,110.17694287233498,-124.0395184763129,130.04808830203868,0
-8.74616226255521,109.96343692346203,-124.44540177838356,129.89567006937796,0
-8.985199750422703,110.1648745095891,-123.49200000728588,130.36940303354805,0
-7.546522624435708,110.87105151440447,-122.29669545508395,131.18000080378732,0
-7.3680510716221805,110.82947095243269,-120.95139055211682,130.85239499568743,0
-7.125016348901798,111.90227876696046,-121.1388623426836,130.3381424562457,0
-8.337444438846726,111.63453705609516,-121.71651839173448,129.72577662396577,0
-8.783115356117765,111.31670131664065,-122.42331912780789,129.72031060660024,0
-8.74616226255521,111.0251011292503,-122.7279034916994,130.6022989181128,0
-8.027237510431954,110.63713735063722,-123.04028008160473,130.553207894226,0
-8.74616226255521,110.17694287233498,-124.23432412665737,130.09996390080983,0
-9.147080384875151,109.78735173626004,-125.74315118435487,130.2036692617285,0
-9.185342006164586,108.79143961019624,-125.75781890391025,128.7965422126667,0
-10.885527054658738,110.05738879063524,-124.90239291577993,127.71282692064447,0
-12.213276546439406,110.84644797212724,-124.27248311581309,126.38241892035069,0
-12.316700285646846,111.00515614808204,-122.23859753465769,126.21557361040861,0
-11.838210525027797,112.0983177686217,-122.11243222816987,126.58992131543528,0
-11.358039750299787,112.96955349445007,-120.54012144677189,126.3350696881611,0
-12.129076198102794,113.00207362925053,-121.19123068515854,125.70427753318974,0
-12.026689654905342,112.62318247788734,-122.10475459371514,126.72309962533548,0
-11.358039750299787,112.34285580428777,-121.85162183982634,126.76305770196791,0
-11.549261823559357,111.40027104721239,-123.6085396228155,126.749512979691,0
-13.268407856286446,110.932944172271,-123.52236677042781,125.24616339851494,0
-13.031157462672297,111.58648297903925,-123.20758375778294,125.36373433807582,0
-12.07766916236423,112.0806461212156,-121.98271458335228,126.05367865581641,0
-10.876246883131035,112.16574944091101,-121.23637975941485,126.84280196789422,0
-10.969757966800588,112.96866880224688,-119.47052383482168,126.77730143275485,0
-10.726294466125237,114.02809839551551,-119.39179943377069,126.48628470945202,0
-11.697715246685782,113.54242188965463,-120.54814285590372,125.87813584654423,0
-11.697715246685782,113.54242188965463,-120.71315470090138,126.08247551459971,0
