Feature Phi (degrees),Feature Theta (degrees),Target Phi (degrees),Target Theta (degrees),reference
123.21816127264805,104.41409999007067,-60.11571089257411,131.4357000249133,0
177.400063334504,102.88885159952065,6.576844827788382,155.0369449723095,0
-178.68111940541067,100.82101654678395,30.458765692144368,154.92773793547914,0
-176.4058925615098,99.87805311120118,31.58033303080816,155.6362411417739,0
-175.02284323167203,99.45507604426935,34.435955915299296,153.84375798827463,0
-172.9808882830993,98.75434636135792,38.17974884858871,155.1807464747541,0
-171.37071456274396,98.97794570674738,38.93154735345441,154.92775176144133,0
-170.02488193912274,98.50075734134725,48.656102286041516,154.1379468130899,0
-169.09089518333676,98.06460530040111,53.00192532216643,153.6637732634969,0
-167.980281756619,97.14439913218028,51.574590214037805,155.44105261572867,0
-167.48963105750084,97.15984923047941,53.6935040500201,152.92017447196713,0
-166.82745526537767,97.3637052920185,55.459904483608426,152.84000915031848,0
-165.45746269883378,96.9059302208972,63.1634094906345,152.09722089831135,0
-164.52722446218635,97.12628598214242,64.9565984957625,149.8546846473855,0
-164.03133131053414,96.46955561169302,68.80166444032108,150.02377879034563,0
-163.16607785875962,95.77377995614293,62.123735690734456,147.0674617379311,0
-162.38656598067809,95.57322099661422,64.868374482545,151.22703214344924,0
-162.38656598067809,95.57322099661422,63.38567613622657,148.20455165008127,0
-161.24437788932795,95.33659571028689,70.0610653770369,146.42621913643265,0
-160.53184210320754,95.11237695381142,71.91439430256463,148.75997242395374,0
-160.03134464648267,96.01142936716722,74.36533885047822,145.35360353828244,0
-159.3186188492074,95.78588829121563,70.28152634092801,147.65141460000967,0
-159.81964650503946,95.3342170750774,76.26790416481832,144.57381154140705,0
-158.6065673450397,95.78264269573603,76.16448379786127,142.3285721487927,0
-158.89792995047296,94.87824251971429,77.1062594823223,144.60988538116968,0
-158.1881582969719,94.4286584134827,71.5042306176631,143.69841125202927,0
-156.97839294567538,94.87396855126843,78.15637872934424,143.7144310529362,0
-156.89022580502498,94.44362355565877,75.63435104599668,141.62174732661487,0
-157.1854420389285,95.32777345017743,77.0463511084782,140.93644858776238,0
-156.89022580502498,95.11526992437226,80.20448134854685,143.9299907292296,0
